facet_id,raw_name,clean_name,category,description,score_1_anchor,score_5_anchor
12,Statistical Reasoning,Statistical Reasoning,cognitive,Evaluate the degree to which 'Statistical Reasoning' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
13,Assertiveness and control in relationships,Assertiveness and control in relationships,personality,Evaluate the degree to which 'Assertiveness and control in relationships' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
14,Cunningness,Cunningness,personality,Evaluate the degree to which 'Cunningness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
15,Adventure-Seeking Behavior,Adventure-Seeking Behavior,behavioral,Evaluate the degree to which 'Adventure-Seeking Behavior' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
16,Compassion Fatigue,Compassion Fatigue,emotion,Evaluate the degree to which 'Compassion Fatigue' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
17,Moroseness,Moroseness,emotion,Evaluate the degree to which 'Moroseness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
18,Specialist,Specialist,professional,Evaluate the degree to which 'Specialist' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
19,Aloofness,Aloofness,personality,Evaluate the degree to which 'Aloofness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
20,Genuine,Genuine,personality,Evaluate the degree to which 'Genuine' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
21,Determinedness,Determinedness,personality,Evaluate the degree to which 'Determinedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
22,HonestyHumility:,HonestyHumility,personality,Evaluate the degree to which 'HonestyHumility' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
23,Relationship Building Themes:,Relationship Building Themes,social,Evaluate the degree to which 'Relationship Building Themes' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
24,Pure Challenge,Pure Challenge,motivation,Evaluate the degree to which 'Pure Challenge' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
25,Openness,Openness,personality,Evaluate the degree to which 'Openness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
26,SelfEsteem,SelfEsteem,personality,Evaluate the degree to which 'SelfEsteem' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
27,Comparing alphanumeric data,Comparing alphanumeric data,personality,Evaluate the degree to which 'Comparing alphanumeric data' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
28,Big-heartedness,Big-heartedness,personality,Evaluate the degree to which 'Big-heartedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
29,Compulsive activities,Compulsive activities,personality,Evaluate the degree to which 'Compulsive activities' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
30,Disrespect,Disrespect,safety,Evaluate the degree to which 'Disrespect' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
31,FSH level,FSH level,health,Evaluate the degree to which 'FSH level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
32,Self Perspective,Self Perspective,personality,Evaluate the degree to which 'Self Perspective' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
33,Desperation,Desperation,emotion,Evaluate the degree to which 'Desperation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
34,Affiliation Motivation:,Affiliation Motivation,motivation,Evaluate the degree to which 'Affiliation Motivation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
35,Anatomy knowledge,Anatomy knowledge,personality,Evaluate the degree to which 'Anatomy knowledge' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
36,Passive-Aggressive,Passive-Aggressive,personality,Evaluate the degree to which 'Passive-Aggressive' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
37,Presence of Spiritual Pain,Presence of Spiritual Pain,spiritual,Evaluate the degree to which 'Presence of Spiritual Pain' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
38,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,social,Evaluate the degree to which 'Role of Spirituality in Community Involvement' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
39,Structure,Structure,pragmatics,Evaluate the degree to which 'Structure' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Poor pragmatic quality,Excellent pragmatic quality
40,Eco-tourism trips,Eco-tourism trips,behavioral,Evaluate the degree to which 'Eco-tourism trips' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
41,Chivalrousness,Chivalrousness,personality,Evaluate the degree to which 'Chivalrousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
42,Pilgrimage participation count,Pilgrimage participation count,social,Evaluate the degree to which 'Pilgrimage participation count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
43,Mindfulness facet: Observing,Observing,personality,Evaluate the degree to which 'Observing' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
44,Submissiveness,Submissiveness,personality,Evaluate the degree to which 'Submissiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
45,Training-cycle length,Training-cycle length,professional,Evaluate the degree to which 'Training-cycle length' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
46,Sensitiveness,Sensitiveness,personality,Evaluate the degree to which 'Sensitiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
47,Negative Affect Frequency,Negative Affect Frequency,emotion,Evaluate the degree to which 'Negative Affect Frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
48,Innovation and Creativity Components:,Innovation and Creativity Components,professional,Evaluate the degree to which 'Innovation and Creativity Components' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
49,Achievement Motivation:,Achievement Motivation,motivation,Evaluate the degree to which 'Achievement Motivation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
50,Feedback-giving frequency,Feedback-giving frequency,social,Evaluate the degree to which 'Feedback-giving frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
51,Dance-cardio sessions,Dance-cardio sessions,behavioral,Evaluate the degree to which 'Dance-cardio sessions' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
52,Enthusiasm,Enthusiasm,emotion,Evaluate the degree to which 'Enthusiasm' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
53,Psychological construct: Social Desirability tendency,Social Desirability tendency,social,Evaluate the degree to which 'Social Desirability tendency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
54,Inattentiveness,Inattentiveness,personality,Evaluate the degree to which 'Inattentiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
55,Unassertiveness,Unassertiveness,personality,Evaluate the degree to which 'Unassertiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
56,Decision-making decisiveness,Decision-making decisiveness,cognitive,Evaluate the degree to which 'Decision-making decisiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
57,Sense-of-coherence score,Sense-of-coherence score,personality,Evaluate the degree to which 'Sense-of-coherence score' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
58,Justice-mindedness,Justice-mindedness,personality,Evaluate the degree to which 'Justice-mindedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
59,Subscription count,Subscription count,behavioral,Evaluate the degree to which 'Subscription count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
60,Depression Symptoms,Depression Symptoms,personality,Evaluate the degree to which 'Depression Symptoms' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
61,Spatial perception,Spatial perception,cognitive,Evaluate the degree to which 'Spatial perception' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
62,Brevity,Brevity,linguistic_quality,Evaluate the degree to which 'Brevity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
63,Orderliness,Orderliness,personality,Evaluate the degree to which 'Orderliness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
64,Multiculturalism,Multiculturalism,personality,Evaluate the degree to which 'Multiculturalism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
65,Creative risk-taking tendency,Creative risk-taking tendency,safety,Evaluate the degree to which 'Creative risk-taking tendency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
66,Inefficiency,Inefficiency,personality,Evaluate the degree to which 'Inefficiency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
67,Network basics,Network basics,social,Evaluate the degree to which 'Network basics' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
68,Alphabetical filing skills,Alphabetical filing skills,linguistic_quality,Evaluate the degree to which 'Alphabetical filing skills' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
69,Work Styles,Work Styles,professional,Evaluate the degree to which 'Work Styles' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
70,Character strength: Perseverance,Perseverance,personality,Evaluate the degree to which 'Perseverance' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
71,Competition,Competition,behavioral,Evaluate the degree to which 'Competition' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
72,Logical Sequence Identification,Logical Sequence Identification,cognitive,Evaluate the degree to which 'Logical Sequence Identification' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
73,Sustainable-transport usage,Sustainable-transport usage,personality,Evaluate the degree to which 'Sustainable-transport usage' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
74,Hardworking,Hardworking,personality,Evaluate the degree to which 'Hardworking' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
75,Emotional-intelligence measure: Impulsiveness,Impulsiveness,personality,Evaluate the degree to which 'Impulsiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
76,Dishonesty,Dishonesty,safety,Evaluate the degree to which 'Dishonesty' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
77,Preferred epistemology,Preferred epistemology,personality,Evaluate the degree to which 'Preferred epistemology' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
78,Memory for Sounds,Memory for Sounds,cognitive,Evaluate the degree to which 'Memory for Sounds' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
79,Sportsmanship rating,Sportsmanship rating,social,Evaluate the degree to which 'Sportsmanship rating' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
80,Immaturity,Immaturity,personality,Evaluate the degree to which 'Immaturity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
81,Health-literacy level,Health-literacy level,health,Evaluate the degree to which 'Health-literacy level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
82,Estimating Calculations,Estimating Calculations,cognitive,Evaluate the degree to which 'Estimating Calculations' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
83,Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,emotion,Evaluate the degree to which 'Depression: Feelings of sadness and hopelessness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
84,Synthesis of information,Synthesis of information,cognitive,Evaluate the degree to which 'Synthesis of information' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
85,Leadership Potential:,Leadership Potential,social,Evaluate the degree to which 'Leadership Potential' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
86,Ethical standards,Ethical standards,personality,Evaluate the degree to which 'Ethical standards' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
87,High-spiritedness,High-spiritedness,emotion,Evaluate the degree to which 'High-spiritedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
88,Critical reasoning,Critical reasoning,cognitive,Evaluate the degree to which 'Critical reasoning' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
89,Sleep-disorder diagnosis,Sleep-disorder diagnosis,behavioral,Evaluate the degree to which 'Sleep-disorder diagnosis' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
90,Collaboration,Collaboration,social,Evaluate the degree to which 'Collaboration' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
91,Precision of Movements,Precision of Movements,personality,Evaluate the degree to which 'Precision of Movements' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
92,Social Boldness,Social Boldness,social,Evaluate the degree to which 'Social Boldness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
93,Auditory memory,Auditory memory,cognitive,Evaluate the degree to which 'Auditory memory' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
94,Organized lifestyle,Organized lifestyle,behavioral,Evaluate the degree to which 'Organized lifestyle' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
95,Skill-endorsements count,Skill-endorsements count,professional,Evaluate the degree to which 'Skill-endorsements count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
96,Mysteriousness,Mysteriousness,personality,Evaluate the degree to which 'Mysteriousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
97,Cultural Identity,Cultural Identity,self_and_identity,Evaluate the degree to which 'Cultural Identity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
98,Intrinsic Motivation,Intrinsic Motivation,motivation,Evaluate the degree to which 'Intrinsic Motivation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
99,Impartial-mindedness,Impartial-mindedness,personality,Evaluate the degree to which 'Impartial-mindedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
100,Burnout Symptoms,Burnout Symptoms,personality,Evaluate the degree to which 'Burnout Symptoms' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
101,Holiness,Holiness,personality,Evaluate the degree to which 'Holiness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
102,Selfcontrol,Selfcontrol,personality,Evaluate the degree to which 'Selfcontrol' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
103,SelfDirectedness,SelfDirectedness,personality,Evaluate the degree to which 'SelfDirectedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
104,Encouraging participation,Encouraging participation,social,Evaluate the degree to which 'Encouraging participation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
105,Impracticalness,Impracticalness,personality,Evaluate the degree to which 'Impracticalness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
106,Meeting Deadlines,Meeting Deadlines,professional,Evaluate the degree to which 'Meeting Deadlines' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
107,Data Analysis,Data Analysis,cognitive,Evaluate the degree to which 'Data Analysis' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
108,Social Interaction Skills,Social Interaction Skills,social,Evaluate the degree to which 'Social Interaction Skills' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
109,Psychoticism,Psychoticism,personality,Evaluate the degree to which 'Psychoticism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
110,Ethical leadership rating,Ethical leadership rating,social,Evaluate the degree to which 'Ethical leadership rating' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
111,Slothfulness,Slothfulness,personality,Evaluate the degree to which 'Slothfulness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
112,Happiness,Happiness,emotion,Evaluate the degree to which 'Happiness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
113,Contentment Levels,Contentment Levels,emotion,Evaluate the degree to which 'Contentment Levels' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
114,Neuroticism,Neuroticism,personality,Evaluate the degree to which 'Neuroticism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
115,Desire for excellence,Desire for excellence,professional,Evaluate the degree to which 'Desire for excellence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
116,Perceiving,Perceiving,personality,Evaluate the degree to which 'Perceiving' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
117,Liberalism,Liberalism,personality,Evaluate the degree to which 'Liberalism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
118,Inversion comfort level,Inversion comfort level,personality,Evaluate the degree to which 'Inversion comfort level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
119,Affection,Affection,emotion,Evaluate the degree to which 'Affection' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
120,Numeric Filing Skills,Numeric Filing Skills,linguistic_quality,Evaluate the degree to which 'Numeric Filing Skills' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
121,Martyrdom,Martyrdom,self_and_identity,Evaluate the degree to which 'Martyrdom' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
122,Parathyroid-hormone level,Parathyroid-hormone level,health,Evaluate the degree to which 'Parathyroid-hormone level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
123,Seeking approval,Seeking approval,personality,Evaluate the degree to which 'Seeking approval' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
124,Judging (J):,Judging (J),personality,Evaluate the degree to which 'Judging (J)' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
125,Big Five facet Openness – Artistic Interests,Artistic Interests,personality,Evaluate the degree to which 'Artistic Interests' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
126,Psychological construct: Operant-Learning rate,Operant-Learning rate,personality,Evaluate the degree to which 'Operant-Learning rate' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
127,Psychological construct: Need for Achievement level,Need for Achievement level,motivation,Evaluate the degree to which 'Need for Achievement level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
128,Cantankerousness,Cantankerousness,personality,Evaluate the degree to which 'Cantankerousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
129,Material properties knowledge,Material properties knowledge,personality,Evaluate the degree to which 'Material properties knowledge' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
130,Hostility,Hostility,emotion,Evaluate the degree to which 'Hostility' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
131,Independence,Independence,personality,Evaluate the degree to which 'Independence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
132,800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,behavioral,Evaluate the degree to which 'Sufi practice: Sufi retreat attendance count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
133,Chromatin-accessibility score,Chromatin-accessibility score,health,Evaluate the degree to which 'Chromatin-accessibility score' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
134,644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,spiritual,Evaluate the degree to which 'Spiritual virtue: Humility practice index' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
135,754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,spiritual,Evaluate the degree to which 'I Ching hexagram 36 resonance level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
136,Well-being component: Engagement,Engagement,personality,Evaluate the degree to which 'Engagement' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
137,Need for social interaction,Need for social interaction,social,Evaluate the degree to which 'Need for social interaction' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
138,Peer-collaboration hours,Peer-collaboration hours,social,Evaluate the degree to which 'Peer-collaboration hours' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
139,Arts and Humanities,Arts and Humanities,personality,Evaluate the degree to which 'Arts and Humanities' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
140,596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,spiritual,Evaluate the degree to which 'Religious practice: Quran khatam cycles per year' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
141,926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,social,Evaluate the degree to which 'Bahá’í spiritual metric: Ridván festival participation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
142,Compassion,Compassion,personality,Evaluate the degree to which 'Compassion' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
143,Information Retention,Information Retention,linguistic_quality,Evaluate the degree to which 'Information Retention' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
144,Eye-contact duration,Eye-contact duration,social,Evaluate the degree to which 'Eye-contact duration' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
145,Self-righteousness,Self-righteousness,self_and_identity,Evaluate the degree to which 'Self-righteousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
